top,left,date,qtr,time_remaining,result,shot_type,distance_ft,lead,lebron_team_score,opponent_team_score,opponent,team,season,color
36,468,"Dec 16, 2022",1st Qtr,5:57,0,3,23,1,18,15,DEN,LAL,2023,red
69,245,"Dec 16, 2022",1st Qtr,5:53,1,2,2,1,20,15,DEN,LAL,2023,green
88,237,"Dec 16, 2022",1st Qtr,4:00,0,2,4,1,25,22,DEN,LAL,2023,red
96,240,"Dec 16, 2022",2nd Qtr,11:29,0,2,4,0,33,34,DEN,LAL,2023,red
307,200,"Dec 16, 2022",2nd Qtr,8:59,1,3,26,1,46,37,DEN,LAL,2023,green
122,73,"Dec 16, 2022",2nd Qtr,7:52,0,2,18,1,46,41,DEN,LAL,2023,red
283,129,"Dec 16, 2022",2nd Qtr,7:07,0,3,26,1,46,45,DEN,LAL,2023,red
73,236,"Dec 16, 2022",2nd Qtr,1:05,1,2,2,0,60,62,DEN,LAL,2023,green
69,233,"Dec 16, 2022",2nd Qtr,0:43,1,2,2,0,62,62,DEN,LAL,2023,green
67,238,"Dec 16, 2022",2nd Qtr,0:27,1,2,1,1,64,62,DEN,LAL,2023,green
69,242,"Dec 16, 2022",3rd Qtr,11:01,1,2,2,0,66,67,DEN,LAL,2023,green
288,355,"Dec 16, 2022",3rd Qtr,7:04,0,3,26,0,70,79,DEN,LAL,2023,red
69,242,"Dec 16, 2022",3rd Qtr,7:00,1,2,2,0,72,79,DEN,LAL,2023,green
88,226,"Dec 16, 2022",3rd Qtr,0:41,1,2,4,1,90,88,DEN,LAL,2023,green
76,254,"Dec 16, 2022",4th Qtr,5:10,1,2,3,1,114,97,DEN,LAL,2023,green
240,275,"Dec 16, 2022",4th Qtr,4:34,1,2,19,1,116,100,DEN,LAL,2023,green
119,108,"Dec 16, 2022",4th Qtr,3:51,1,2,15,1,118,102,DEN,LAL,2023,green
65,241,"Dec 16, 2022",4th Qtr,3:35,1,2,1,1,120,102,DEN,LAL,2023,green
206,115,"Dec 16, 2022",4th Qtr,2:59,0,2,20,1,120,102,DEN,LAL,2023,red
293,156,"Dec 18, 2022",1st Qtr,10:54,0,3,26,1,2,0,WAS,LAL,2023,red
146,131,"Dec 18, 2022",1st Qtr,10:09,0,2,14,1,4,2,WAS,LAL,2023,red
63,243,"Dec 18, 2022",1st Qtr,7:54,1,2,1,1,11,9,WAS,LAL,2023,green
68,261,"Dec 18, 2022",1st Qtr,6:37,1,2,3,1,16,12,WAS,LAL,2023,green
196,116,"Dec 18, 2022",1st Qtr,6:10,1,2,19,1,18,12,WAS,LAL,2023,green
219,337,"Dec 18, 2022",2nd Qtr,11:36,0,2,19,1,30,29,WAS,LAL,2023,red
76,214,"Dec 18, 2022",2nd Qtr,10:15,1,2,3,0,34,34,WAS,LAL,2023,green
180,344,"Dec 18, 2022",2nd Qtr,8:53,1,2,16,1,40,37,WAS,LAL,2023,green
55,241,"Dec 18, 2022",2nd Qtr,7:05,1,2,0,1,47,39,WAS,LAL,2023,green
237,233,"Dec 18, 2022",2nd Qtr,4:04,0,2,18,1,52,45,WAS,LAL,2023,red
83,261,"Dec 18, 2022",2nd Qtr,1:00,1,2,4,1,63,52,WAS,LAL,2023,green
99,108,"Dec 18, 2022",3rd Qtr,11:42,0,2,14,1,66,52,WAS,LAL,2023,red
184,124,"Dec 18, 2022",3rd Qtr,7:07,0,2,18,1,73,64,WAS,LAL,2023,red
96,280,"Dec 18, 2022",3rd Qtr,5:01,1,2,6,1,79,71,WAS,LAL,2023,green
288,385,"Dec 18, 2022",4th Qtr,10:48,0,3,28,0,87,95,WAS,LAL,2023,red
73,257,"Dec 18, 2022",4th Qtr,10:27,1,2,3,0,89,95,WAS,LAL,2023,green
256,76,"Dec 18, 2022",4th Qtr,8:23,1,3,26,1,98,95,WAS,LAL,2023,green
224,205,"Dec 18, 2022",4th Qtr,7:26,0,2,18,1,98,97,WAS,LAL,2023,red
84,216,"Dec 18, 2022",4th Qtr,5:21,0,2,4,1,103,102,WAS,LAL,2023,red
74,234,"Dec 18, 2022",4th Qtr,5:09,1,2,2,1,105,102,WAS,LAL,2023,green
89,213,"Dec 18, 2022",4th Qtr,3:58,0,2,5,1,109,104,WAS,LAL,2023,red
108,259,"Dec 18, 2022",4th Qtr,3:35,1,2,6,1,111,104,WAS,LAL,2023,green
307,140,"Dec 18, 2022",4th Qtr,0:42,0,3,27,1,115,113,WAS,LAL,2023,red
61,237,"Dec 18, 2022",4th Qtr,0:27,1,2,1,1,117,115,WAS,LAL,2023,green
289,175,"Dec 21, 2022",1st Qtr,11:11,0,3,25,1,3,0,SAC,LAL,2023,red
57,222,"Dec 21, 2022",1st Qtr,10:38,1,2,2,1,5,0,SAC,LAL,2023,green
261,161,"Dec 21, 2022",1st Qtr,8:53,1,2,22,1,11,7,SAC,LAL,2023,green
198,77,"Dec 21, 2022",1st Qtr,6:38,1,2,22,1,13,12,SAC,LAL,2023,green
58,187,"Dec 21, 2022",1st Qtr,6:16,0,2,5,1,13,12,SAC,LAL,2023,red
161,242,"Dec 21, 2022",2nd Qtr,11:26,1,2,11,0,28,28,SAC,LAL,2023,green
258,77,"Dec 21, 2022",2nd Qtr,10:34,0,3,26,0,30,30,SAC,LAL,2023,red
62,111,"Dec 21, 2022",2nd Qtr,9:59,0,2,13,0,30,32,SAC,LAL,2023,red
83,236,"Dec 21, 2022",2nd Qtr,9:11,1,2,3,0,32,34,SAC,LAL,2023,green
136,176,"Dec 21, 2022",2nd Qtr,7:20,1,2,11,0,40,41,SAC,LAL,2023,green
105,137,"Dec 21, 2022",2nd Qtr,3:02,0,2,12,0,47,54,SAC,LAL,2023,red
54,220,"Dec 21, 2022",2nd Qtr,1:55,1,2,2,0,52,58,SAC,LAL,2023,green
62,242,"Dec 21, 2022",2nd Qtr,1:38,1,2,1,0,54,58,SAC,LAL,2023,green
94,309,"Dec 21, 2022",3rd Qtr,11:28,1,2,8,0,60,68,SAC,LAL,2023,green
218,238,"Dec 21, 2022",3rd Qtr,9:35,0,2,17,0,64,75,SAC,LAL,2023,red
121,403,"Dec 21, 2022",3rd Qtr,6:14,0,2,18,0,71,82,SAC,LAL,2023,red
59,205,"Dec 21, 2022",4th Qtr,9:15,0,2,4,0,94,110,SAC,LAL,2023,red
315,219,"Dec 21, 2022",4th Qtr,7:05,0,3,26,0,100,121,SAC,LAL,2023,red
67,211,"Dec 21, 2022",4th Qtr,6:37,1,2,3,0,102,123,SAC,LAL,2023,green
68,237,"Dec 21, 2022",4th Qtr,3:19,1,2,2,0,110,126,SAC,LAL,2023,green
295,152,"Dec 21, 2022",4th Qtr,2:33,0,3,26,0,113,129,SAC,LAL,2023,red
68,373,"Dec 23, 2022",1st Qtr,10:55,1,2,13,0,2,3,CHO,LAL,2023,green
297,147,"Dec 23, 2022",1st Qtr,9:53,0,3,26,0,2,5,CHO,LAL,2023,red
105,266,"Dec 23, 2022",1st Qtr,8:44,0,2,6,0,5,6,CHO,LAL,2023,red
94,398,"Dec 23, 2022",1st Qtr,8:42,1,2,16,1,7,6,CHO,LAL,2023,green
67,224,"Dec 23, 2022",1st Qtr,8:14,1,2,2,1,9,6,CHO,LAL,2023,green
125,265,"Dec 23, 2022",2nd Qtr,11:02,0,2,8,0,31,33,CHO,LAL,2023,red
113,413,"Dec 23, 2022",2nd Qtr,10:29,0,2,18,0,31,36,CHO,LAL,2023,red
84,12,"Dec 23, 2022",2nd Qtr,8:31,0,3,23,0,34,42,CHO,LAL,2023,red
322,247,"Dec 23, 2022",2nd Qtr,8:06,1,3,27,0,37,44,CHO,LAL,2023,green
81,226,"Dec 23, 2022",2nd Qtr,2:18,1,2,3,0,55,58,CHO,LAL,2023,green
304,137,"Dec 23, 2022",2nd Qtr,0:03,1,3,27,0,67,67,CHO,LAL,2023,green
213,119,"Dec 23, 2022",3rd Qtr,9:03,1,2,20,0,69,77,CHO,LAL,2023,green
239,415,"Dec 23, 2022",3rd Qtr,8:13,0,3,26,0,69,80,CHO,LAL,2023,red
169,137,"Dec 23, 2022",4th Qtr,11:01,0,2,16,0,89,99,CHO,LAL,2023,red
58,240,"Dec 23, 2022",4th Qtr,8:33,1,2,1,0,100,107,CHO,LAL,2023,green
318,256,"Dec 23, 2022",4th Qtr,8:06,0,3,27,0,100,107,CHO,LAL,2023,red
300,296,"Dec 23, 2022",4th Qtr,6:51,1,3,25,0,103,112,CHO,LAL,2023,green
70,222,"Dec 23, 2022",4th Qtr,5:48,1,2,2,0,109,114,CHO,LAL,2023,green
80,218,"Dec 23, 2022",4th Qtr,4:52,1,2,4,0,111,114,CHO,LAL,2023,green
236,423,"Dec 23, 2022",4th Qtr,4:27,1,3,26,0,114,117,CHO,LAL,2023,green
69,248,"Dec 23, 2022",4th Qtr,2:28,1,2,2,0,121,124,CHO,LAL,2023,green
65,237,"Dec 23, 2022",4th Qtr,1:52,1,2,1,0,123,126,CHO,LAL,2023,green
62,243,"Dec 23, 2022",4th Qtr,0:42,1,2,1,0,130,130,CHO,LAL,2023,green
58,255,"Dec 25, 2022",1st Qtr,11:18,0,2,2,1,3,0,DAL,LAL,2023,red
157,213,"Dec 25, 2022",1st Qtr,10:15,1,2,11,1,7,5,DAL,LAL,2023,green
72,237,"Dec 25, 2022",1st Qtr,10:00,1,2,2,1,9,5,DAL,LAL,2023,green
253,125,"Dec 25, 2022",1st Qtr,8:39,0,2,23,1,11,6,DAL,LAL,2023,red
73,217,"Dec 25, 2022",1st Qtr,8:20,1,2,3,1,13,6,DAL,LAL,2023,green
79,207,"Dec 25, 2022",1st Qtr,7:51,1,2,4,1,15,6,DAL,LAL,2023,green
54,86,"Dec 25, 2022",1st Qtr,6:13,1,2,15,1,19,9,DAL,LAL,2023,green
323,374,"Dec 25, 2022",1st Qtr,0:02,0,3,30,1,28,21,DAL,LAL,2023,red
62,228,"Dec 25, 2022",2nd Qtr,11:27,1,2,1,1,30,24,DAL,LAL,2023,green
320,222,"Dec 25, 2022",2nd Qtr,10:26,0,3,27,1,30,24,DAL,LAL,2023,red
153,205,"Dec 25, 2022",2nd Qtr,7:45,0,2,11,1,37,28,DAL,LAL,2023,red
123,234,"Dec 25, 2022",2nd Qtr,7:21,1,2,7,1,39,30,DAL,LAL,2023,green
68,221,"Dec 25, 2022",2nd Qtr,6:56,1,2,2,1,41,30,DAL,LAL,2023,green
46,85,"Dec 25, 2022",2nd Qtr,6:16,0,2,16,1,41,30,DAL,LAL,2023,red
72,340,"Dec 25, 2022",2nd Qtr,3:32,1,2,10,1,43,35,DAL,LAL,2023,green
180,68,"Dec 25, 2022",3rd Qtr,10:33,1,2,21,1,56,46,DAL,LAL,2023,green
256,87,"Dec 25, 2022",3rd Qtr,9:29,0,3,25,1,58,49,DAL,LAL,2023,red
183,382,"Dec 25, 2022",3rd Qtr,6:58,1,2,19,1,63,60,DAL,LAL,2023,green
175,394,"Dec 25, 2022",4th Qtr,9:19,1,2,20,0,87,99,DAL,LAL,2023,green
213,168,"Dec 25, 2022",4th Qtr,8:19,0,2,18,0,87,101,DAL,LAL,2023,red
80,236,"Dec 25, 2022",4th Qtr,7:57,1,2,3,0,89,101,DAL,LAL,2023,green
253,82,"Dec 25, 2022",4th Qtr,3:53,0,3,26,0,103,119,DAL,LAL,2023,red
62,252,"Dec 25, 2022",4th Qtr,3:40,0,2,1,0,103,121,DAL,LAL,2023,red
178,124,"Dec 27, 2022",1st Qtr,10:21,0,2,17,0,0,1,ORL,LAL,2023,red
37,399,"Dec 27, 2022",1st Qtr,9:52,1,2,16,0,3,3,ORL,LAL,2023,green
251,84,"Dec 27, 2022",1st Qtr,7:14,0,3,25,1,8,7,ORL,LAL,2023,red
66,244,"Dec 27, 2022",1st Qtr,5:00,1,2,1,1,18,15,ORL,LAL,2023,green
152,423,"Dec 27, 2022",1st Qtr,4:31,0,2,21,0,18,18,ORL,LAL,2023,red
74,212,"Dec 27, 2022",2nd Qtr,11:33,1,2,4,1,35,27,ORL,LAL,2023,green
69,246,"Dec 27, 2022",2nd Qtr,10:15,1,2,2,1,37,31,ORL,LAL,2023,green
318,262,"Dec 27, 2022",2nd Qtr,9:27,0,3,27,1,39,31,ORL,LAL,2023,red
262,87,"Dec 27, 2022",2nd Qtr,7:02,0,3,26,1,47,39,ORL,LAL,2023,red
80,249,"Dec 27, 2022",2nd Qtr,1:26,1,2,3,1,63,51,ORL,LAL,2023,green
75,340,"Dec 27, 2022",3rd Qtr,10:24,1,2,10,1,70,59,ORL,LAL,2023,green
277,97,"Dec 27, 2022",3rd Qtr,9:32,0,3,27,1,72,60,ORL,LAL,2023,red
128,218,"Dec 27, 2022",3rd Qtr,9:11,0,2,8,1,72,60,ORL,LAL,2023,red
305,112,"Dec 27, 2022",3rd Qtr,8:08,0,3,28,1,73,63,ORL,LAL,2023,red
118,473,"Dec 27, 2022",3rd Qtr,7:37,0,3,24,1,73,66,ORL,LAL,2023,red
71,266,"Dec 27, 2022",3rd Qtr,7:05,1,2,3,1,75,68,ORL,LAL,2023,green
57,248,"Dec 27, 2022",3rd Qtr,6:21,1,2,1,1,79,68,ORL,LAL,2023,green
74,265,"Dec 27, 2022",3rd Qtr,5:56,0,2,3,1,79,68,ORL,LAL,2023,red
69,266,"Dec 27, 2022",3rd Qtr,3:27,1,2,3,1,86,77,ORL,LAL,2023,green
141,208,"Dec 27, 2022",3rd Qtr,2:59,1,2,9,1,88,77,ORL,LAL,2023,green
223,442,"Dec 27, 2022",4th Qtr,6:23,0,3,26,1,109,96,ORL,LAL,2023,red
78,403,"Dec 27, 2022",4th Qtr,6:10,0,2,17,1,109,96,ORL,LAL,2023,red
69,261,"Dec 27, 2022",4th Qtr,5:13,1,2,3,1,113,98,ORL,LAL,2023,green
75,221,"Dec 27, 2022",4th Qtr,3:19,1,2,3,1,118,103,ORL,LAL,2023,green
141,333,"Dec 28, 2022",1st Qtr,11:23,1,2,13,1,2,0,MIA,LAL,2023,green
338,220,"Dec 28, 2022",1st Qtr,10:20,0,3,29,1,5,3,MIA,LAL,2023,red
279,122,"Dec 28, 2022",1st Qtr,9:28,1,3,26,1,8,7,MIA,LAL,2023,green
208,132,"Dec 28, 2022",1st Qtr,7:33,1,2,19,0,10,13,MIA,LAL,2023,green
263,84,"Dec 28, 2022",1st Qtr,6:58,1,3,26,0,13,13,MIA,LAL,2023,green
77,77,"Dec 28, 2022",2nd Qtr,8:43,0,2,17,0,33,37,MIA,LAL,2023,red
67,240,"Dec 28, 2022",2nd Qtr,7:53,1,2,1,0,37,37,MIA,LAL,2023,green
145,222,"Dec 28, 2022",2nd Qtr,2:11,0,2,9,0,48,53,MIA,LAL,2023,red
307,262,"Dec 28, 2022",2nd Qtr,0:56,0,3,26,0,50,56,MIA,LAL,2023,red
72,224,"Dec 28, 2022",3rd Qtr,8:52,1,2,2,0,57,68,MIA,LAL,2023,green
268,88,"Dec 28, 2022",3rd Qtr,7:24,0,3,26,0,58,73,MIA,LAL,2023,red
56,252,"Dec 28, 2022",3rd Qtr,6:34,1,2,1,0,60,73,MIA,LAL,2023,green
52,252,"Dec 28, 2022",4th Qtr,9:56,1,2,1,0,83,95,MIA,LAL,2023,green
61,221,"Dec 28, 2022",4th Qtr,8:44,1,2,2,0,88,98,MIA,LAL,2023,green
64,259,"Dec 28, 2022",4th Qtr,7:45,0,2,2,0,90,102,MIA,LAL,2023,red
57,257,"Dec 28, 2022",4th Qtr,7:29,0,2,2,0,92,102,MIA,LAL,2023,red
59,205,"Dec 28, 2022",4th Qtr,5:26,0,2,4,0,92,105,MIA,LAL,2023,red
58,257,"Dec 28, 2022",4th Qtr,4:57,1,2,2,0,94,105,MIA,LAL,2023,green
213,221,"Dec 30, 2022",1st Qtr,10:51,0,2,16,1,2,0,ATL,LAL,2023,red
144,77,"Dec 30, 2022",1st Qtr,10:12,0,2,19,0,2,2,ATL,LAL,2023,red
59,474,"Dec 30, 2022",1st Qtr,9:41,0,3,23,0,2,4,ATL,LAL,2023,red
59,237,"Dec 30, 2022",1st Qtr,8:59,1,2,1,0,4,6,ATL,LAL,2023,green
80,263,"Dec 30, 2022",1st Qtr,4:50,0,2,4,0,12,18,ATL,LAL,2023,red
123,249,"Dec 30, 2022",2nd Qtr,11:39,0,2,7,0,23,33,ATL,LAL,2023,red
303,313,"Dec 30, 2022",2nd Qtr,10:55,1,3,26,0,26,36,ATL,LAL,2023,green
67,242,"Dec 30, 2022",2nd Qtr,8:08,1,2,1,0,32,43,ATL,LAL,2023,green
172,291,"Dec 30, 2022",2nd Qtr,6:05,0,2,13,0,39,52,ATL,LAL,2023,red
61,239,"Dec 30, 2022",2nd Qtr,4:42,1,2,1,0,47,57,ATL,LAL,2023,green
71,238,"Dec 30, 2022",2nd Qtr,3:34,1,2,2,0,53,59,ATL,LAL,2023,green
69,239,"Dec 30, 2022",2nd Qtr,0:48,1,2,2,0,60,67,ATL,LAL,2023,green
67,239,"Dec 30, 2022",2nd Qtr,0:22,1,2,1,0,62,67,ATL,LAL,2023,green
62,338,"Dec 30, 2022",3rd Qtr,10:02,1,2,10,0,66,69,ATL,LAL,2023,green
53,240,"Dec 30, 2022",3rd Qtr,7:51,1,2,0,0,68,74,ATL,LAL,2023,green
52,242,"Dec 30, 2022",3rd Qtr,7:21,1,2,0,0,70,77,ATL,LAL,2023,green
48,235,"Dec 30, 2022",3rd Qtr,4:26,1,2,1,1,82,81,ATL,LAL,2023,green
53,242,"Dec 30, 2022",3rd Qtr,3:14,0,2,0,1,84,83,ATL,LAL,2023,red
53,240,"Dec 30, 2022",3rd Qtr,3:11,1,2,0,1,86,83,ATL,LAL,2023,green
54,236,"Dec 30, 2022",3rd Qtr,2:23,1,2,0,1,91,87,ATL,LAL,2023,green
168,468,"Dec 30, 2022",4th Qtr,10:37,1,3,26,1,103,101,ATL,LAL,2023,green
274,123,"Dec 30, 2022",4th Qtr,7:29,1,3,25,1,108,105,ATL,LAL,2023,green
389,212,"Dec 30, 2022",4th Qtr,6:42,0,3,34,1,108,105,ATL,LAL,2023,red
67,108,"Dec 30, 2022",4th Qtr,5:46,0,2,13,1,108,107,ATL,LAL,2023,red
285,142,"Dec 30, 2022",4th Qtr,3:43,1,3,25,1,117,113,ATL,LAL,2023,green
54,212,"Dec 30, 2022",4th Qtr,2:18,1,2,3,1,119,113,ATL,LAL,2023,green
74,283,"Dec 30, 2022",4th Qtr,1:43,1,2,5,1,122,116,ATL,LAL,2023,green
113,210,"Jan 2, 2023",1st Qtr,8:47,1,2,7,1,9,5,CHO,LAL,2023,green
210,254,"Jan 2, 2023",1st Qtr,7:46,1,2,16,1,14,5,CHO,LAL,2023,green
309,216,"Jan 2, 2023",1st Qtr,7:19,0,3,26,1,14,7,CHO,LAL,2023,red
243,414,"Jan 2, 2023",1st Qtr,5:33,0,3,26,1,18,12,CHO,LAL,2023,red
72,257,"Jan 2, 2023",1st Qtr,4:52,0,2,3,1,18,12,CHO,LAL,2023,red
71,254,"Jan 2, 2023",2nd Qtr,9:34,1,2,2,1,31,21,CHO,LAL,2023,green
82,312,"Jan 2, 2023",2nd Qtr,9:07,1,2,8,1,34,21,CHO,LAL,2023,green
209,233,"Jan 2, 2023",2nd Qtr,8:31,0,2,16,1,34,21,CHO,LAL,2023,red
331,243,"Jan 2, 2023",2nd Qtr,8:17,0,3,28,1,34,21,CHO,LAL,2023,red
64,245,"Jan 2, 2023",2nd Qtr,8:01,1,2,1,1,36,21,CHO,LAL,2023,green
63,281,"Jan 2, 2023",2nd Qtr,6:33,1,2,4,1,38,24,CHO,LAL,2023,green
63,223,"Jan 2, 2023",2nd Qtr,4:31,1,2,2,1,43,31,CHO,LAL,2023,green
69,236,"Jan 2, 2023",2nd Qtr,1:45,1,2,2,1,52,39,CHO,LAL,2023,green
205,122,"Jan 2, 2023",2nd Qtr,0:32,1,2,19,1,56,45,CHO,LAL,2023,green
73,172,"Jan 2, 2023",3rd Qtr,11:46,1,2,7,1,62,45,CHO,LAL,2023,green
61,228,"Jan 2, 2023",3rd Qtr,10:35,0,2,1,1,64,47,CHO,LAL,2023,red
179,119,"Jan 2, 2023",3rd Qtr,9:55,1,2,18,1,66,47,CHO,LAL,2023,green
68,223,"Jan 2, 2023",3rd Qtr,8:38,1,2,2,1,73,50,CHO,LAL,2023,green
223,155,"Jan 2, 2023",3rd Qtr,8:08,0,2,19,1,74,53,CHO,LAL,2023,red
59,233,"Jan 2, 2023",3rd Qtr,7:36,1,2,1,1,76,54,CHO,LAL,2023,green
105,191,"Jan 2, 2023",3rd Qtr,3:41,1,2,7,1,85,68,CHO,LAL,2023,green
267,98,"Jan 2, 2023",4th Qtr,9:17,0,3,26,1,95,84,CHO,LAL,2023,red
58,226,"Jan 2, 2023",4th Qtr,7:48,1,2,2,1,101,88,CHO,LAL,2023,green
302,217,"Jan 2, 2023",4th Qtr,6:49,0,3,25,1,101,91,CHO,LAL,2023,red
128,112,"Jan 2, 2023",4th Qtr,3:03,0,2,15,1,107,96,CHO,LAL,2023,red
68,254,"Jan 2, 2023",4th Qtr,2:01,1,2,2,1,112,100,CHO,LAL,2023,green
163,385,"Jan 6, 2023",1st Qtr,9:55,0,2,18,1,9,2,ATL,LAL,2023,red
78,292,"Jan 6, 2023",1st Qtr,8:38,0,2,6,1,12,6,ATL,LAL,2023,red
87,239,"Jan 6, 2023",1st Qtr,6:10,1,2,3,1,20,13,ATL,LAL,2023,green
98,258,"Jan 6, 2023",1st Qtr,4:07,1,2,5,1,26,17,ATL,LAL,2023,green
276,90,"Jan 6, 2023",1st Qtr,0:12,0,3,27,1,37,28,ATL,LAL,2023,red
72,254,"Jan 6, 2023",2nd Qtr,9:14,0,2,2,1,45,30,ATL,LAL,2023,red
79,248,"Jan 6, 2023",2nd Qtr,9:00,1,2,3,1,47,30,ATL,LAL,2023,green
81,247,"Jan 6, 2023",2nd Qtr,3:21,1,2,3,1,62,36,ATL,LAL,2023,green
288,335,"Jan 6, 2023",2nd Qtr,2:20,0,3,25,1,62,37,ATL,LAL,2023,red
93,52,"Jan 6, 2023",3rd Qtr,11:30,0,2,19,1,70,49,ATL,LAL,2023,red
250,79,"Jan 6, 2023",3rd Qtr,9:42,0,3,25,1,73,57,ATL,LAL,2023,red
258,404,"Jan 6, 2023",3rd Qtr,8:30,0,3,26,1,76,59,ATL,LAL,2023,red
318,220,"Jan 6, 2023",3rd Qtr,6:55,1,3,27,1,81,66,ATL,LAL,2023,green
86,237,"Jan 6, 2023",3rd Qtr,4:31,1,2,3,1,88,71,ATL,LAL,2023,green
216,212,"Jan 6, 2023",4th Qtr,11:17,0,2,17,1,98,85,ATL,LAL,2023,red
76,240,"Jan 6, 2023",4th Qtr,8:52,1,2,2,1,106,90,ATL,LAL,2023,green
73,244,"Jan 6, 2023",4th Qtr,8:19,1,2,2,1,108,90,ATL,LAL,2023,green
74,241,"Jan 6, 2023",4th Qtr,7:29,1,2,2,1,113,92,ATL,LAL,2023,green
83,248,"Jan 6, 2023",4th Qtr,6:26,1,2,3,1,115,96,ATL,LAL,2023,green
64,226,"Jan 7, 2023",1st Qtr,10:12,0,2,2,1,7,4,SAC,LAL,2023,red
294,166,"Jan 7, 2023",1st Qtr,6:46,1,3,25,1,17,13,SAC,LAL,2023,green
264,106,"Jan 7, 2023",1st Qtr,6:15,0,3,25,1,17,16,SAC,LAL,2023,red
300,196,"Jan 7, 2023",1st Qtr,5:40,0,3,25,1,17,16,SAC,LAL,2023,red
67,189,"Jan 7, 2023",2nd Qtr,11:07,0,2,5,0,37,40,SAC,LAL,2023,red
98,278,"Jan 7, 2023",2nd Qtr,10:11,1,2,6,0,41,46,SAC,LAL,2023,green
146,252,"Jan 7, 2023",2nd Qtr,9:32,1,2,9,0,44,46,SAC,LAL,2023,green
170,262,"Jan 7, 2023",2nd Qtr,9:10,0,2,12,0,44,46,SAC,LAL,2023,red
57,246,"Jan 7, 2023",2nd Qtr,8:31,1,2,1,1,48,46,SAC,LAL,2023,green
62,476,"Jan 7, 2023",2nd Qtr,7:26,0,3,24,0,50,50,SAC,LAL,2023,red
58,221,"Jan 7, 2023",2nd Qtr,6:32,1,2,2,0,52,54,SAC,LAL,2023,green
63,267,"Jan 7, 2023",2nd Qtr,5:44,0,2,3,0,52,60,SAC,LAL,2023,red
57,225,"Jan 7, 2023",2nd Qtr,2:52,1,2,2,0,64,64,SAC,LAL,2023,green
77,269,"Jan 7, 2023",2nd Qtr,1:57,0,2,4,0,66,66,SAC,LAL,2023,red
53,10,"Jan 7, 2023",3rd Qtr,11:00,0,3,23,0,75,78,SAC,LAL,2023,red
51,258,"Jan 7, 2023",3rd Qtr,10:31,0,2,2,0,75,81,SAC,LAL,2023,red
63,253,"Jan 7, 2023",3rd Qtr,10:07,1,2,2,0,79,81,SAC,LAL,2023,green
66,215,"Jan 7, 2023",3rd Qtr,7:13,1,2,3,0,87,90,SAC,LAL,2023,green
92,222,"Jan 7, 2023",3rd Qtr,4:51,0,2,4,0,96,97,SAC,LAL,2023,red
66,247,"Jan 7, 2023",3rd Qtr,4:26,1,2,1,1,98,97,SAC,LAL,2023,green
66,223,"Jan 7, 2023",3rd Qtr,0:01,1,2,2,0,109,109,SAC,LAL,2023,green
312,201,"Jan 7, 2023",4th Qtr,10:20,0,3,26,1,113,111,SAC,LAL,2023,red
58,259,"Jan 7, 2023",4th Qtr,9:20,1,2,2,1,117,111,SAC,LAL,2023,green
68,217,"Jan 7, 2023",4th Qtr,7:06,1,2,3,1,122,113,SAC,LAL,2023,green
74,197,"Jan 7, 2023",4th Qtr,3:58,0,2,5,0,126,126,SAC,LAL,2023,red
116,229,"Jan 7, 2023",4th Qtr,3:35,1,2,6,0,128,128,SAC,LAL,2023,green
48,378,"Jan 7, 2023",4th Qtr,2:12,0,2,14,0,130,130,SAC,LAL,2023,red
56,263,"Jan 7, 2023",4th Qtr,0:48,1,2,2,0,132,132,SAC,LAL,2023,green
74,238,"Jan 12, 2023",1st Qtr,11:37,1,2,2,1,2,0,DAL,LAL,2023,green
65,177,"Jan 12, 2023",1st Qtr,10:01,0,2,6,0,2,4,DAL,LAL,2023,red
88,200,"Jan 12, 2023",1st Qtr,9:34,0,2,5,0,2,4,DAL,LAL,2023,red
89,240,"Jan 12, 2023",1st Qtr,9:31,1,2,4,0,4,4,DAL,LAL,2023,green
69,276,"Jan 12, 2023",1st Qtr,4:54,0,2,4,0,10,19,DAL,LAL,2023,red
323,141,"Jan 12, 2023",2nd Qtr,9:36,0,3,29,0,27,40,DAL,LAL,2023,red
81,234,"Jan 12, 2023",2nd Qtr,8:24,1,2,3,0,32,40,DAL,LAL,2023,green
81,242,"Jan 12, 2023",2nd Qtr,7:50,1,2,3,0,34,43,DAL,LAL,2023,green
134,268,"Jan 12, 2023",2nd Qtr,7:09,0,2,9,0,34,43,DAL,LAL,2023,red
83,255,"Jan 12, 2023",2nd Qtr,2:31,0,2,3,0,46,55,DAL,LAL,2023,red
214,132,"Jan 12, 2023",3rd Qtr,9:49,0,2,19,0,52,65,DAL,LAL,2023,red
53,240,"Jan 12, 2023",3rd Qtr,6:59,1,2,0,0,59,71,DAL,LAL,2023,green
68,236,"Jan 12, 2023",3rd Qtr,6:05,1,2,2,0,63,73,DAL,LAL,2023,green
117,235,"Jan 12, 2023",3rd Qtr,5:04,0,2,6,0,63,77,DAL,LAL,2023,red
91,3,"Jan 12, 2023",3rd Qtr,2:31,0,3,24,0,70,79,DAL,LAL,2023,red
148,265,"Jan 12, 2023",3rd Qtr,1:52,0,2,10,0,72,81,DAL,LAL,2023,red
88,240,"Jan 12, 2023",3rd Qtr,1:48,1,2,4,0,74,81,DAL,LAL,2023,green
55,262,"Jan 12, 2023",4th Qtr,6:43,0,2,2,0,87,89,DAL,LAL,2023,red
